SubjID,nw_target,nw_response_time,nw_famsize,simp_comp,nw_LogBf
107,heightenge,772,S,COMP,6.82
107,humidoes,622,S,COMP,4.52
107,treasonime,551,S,COMP,4.93
107,towerly,490,L,SIMP,7.07
107,beerel,704,S,COMP,6.75
107,yieldist,543,S,SIMP,6.42
107,flipody,522,L,COMP,5.21
107,valider,545,L,SIMP,6.43
107,witchish,359,L,SIMP,6.79
107,pickence,578,L,SIMP,8.13
107,opposement,606,S,SIMP,6.9
107,socketer,780,S,SIMP,4.96
107,nutly,492,L,SIMP,6.85
107,fiendilm,503,S,COMP,3.97
107,begence,556,L,SIMP,6.4
107,growist,484,L,SIMP,9.05
107,jawly,332,S,SIMP,6.03
107,nextness,712,S,SIMP,8.91
107,fellowoes,455,L,COMP,7.19
107,blooder,387,L,SIMP,8.29
107,earist,373,L,SIMP,2.77
107,boil,420,L,COMP,7
107,acrement,431,S,SIMP,6.56
107,nullish,660,S,SIMP,3.81
107,truenels,419,S,COMP,NA
107,helmetous,538,S,SIMP,5.49
107,thrillance,466,S,SIMP,5.73
107,elmilt,533,S,COMP,5.16
107,classous,403,L,SIMP,8.73
107,criticance,631,L,SIMP,7.91
107,warnory,541,S,SIMP,7.44
107,stirange,767,L,COMP,6.73
107,urnist,558,S,SIMP,4.22
107,princemant,648,S,COMP,6.81
107,gasfil,552,L,COMP,7.31
107,yankody,491,S,COMP,3.93
107,bogary,602,L,SIMP,5.56
107,smoothful,771,L,SIMP,6.95
107,aridilm,670,S,COMP,4.61
107,debtith,546,S,COMP,6.49
107,ripenge,595,L,COMP,6.15
107,meltange,686,S,COMP,6.06
107,aidic,559,S,SIMP,7.06
107,illilt,521,L,COMP,7.77
107,habitic,474,L,SIMP,7.63
107,branchel,685,S,COMP,7.43
107,feverize,710,S,SIMP,6.39
107,antilm,535,S,COMP,5.33
107,dumbidy,568,S,COMP,5.5
107,bandary,404,L,SIMP,6.89
107,passmant,408,L,COMP,9.21
107,sheetel,595,L,COMP,6.92
107,tiltary,464,S,SIMP,5.79
107,weldig,582,S,COMP,4.86
107,curtidy,663,S,COMP,4.48
107,mouthime,486,L,COMP,7.96
107,shootment,777,L,SIMP,7.51
107,baskory,505,S,SIMP,4.22
107,happenange,720,S,COMP,8.85
107,freenels,684,L,COMP,8.89
107,pillime,423,S,COMP,6.29
107,breakidy,595,L,COMP,8.76
107,advertisely,854,S,SIMP,1.56
107,longness,496,L,SIMP,9.86
107,poority,509,L,SIMP,8.38
108,shootmant,989,L,SIMP,7.51
108,taxfil,665,L,SIMP,7.92
108,trueness,625,S,COMP,NA
108,medicalady,991,S,SIMP,7.19
108,flitence,729,L,COMP,6.4
108,acremant,788,S,SIMP,6.56
108,curtity,844,S,COMP,4.48
108,elmist,735,S,COMP,5.16
108,bindic,715,L,COMP,6.11
108,socketel,768,S,SIMP,4.96
108,antism,904,S,COMP,5.33
108,jawla,576,S,SIMP,6.03
108,growilt,696,L,SIMP,9.05
108,warnody,663,S,SIMP,7.44
108,northize,738,L,COMP,7.84
108,urnilt,615,S,SIMP,4.22
108,meltance,662,S,COMP,6.06
108,thrillange,849,S,SIMP,5.73
108,passment,949,L,COMP,9.21
108,breakity,796,L,COMP,8.76
108,pitchory,875,L,COMP,6.41
108,flipory,615,L,COMP,5.21
108,pooridy,737,L,SIMP,8.38
108,beanith,992,L,SIMP,6.05
108,helmetoes,683,S,SIMP,5.49
108,towerla,598,L,SIMP,7.07
108,bogady,742,L,SIMP,5.56
108,earilt,57079,L,SIMP,2.77
108,opposemant,778,S,SIMP,6.9
108,sheeter,980,L,COMP,6.92
108,kingism,610,L,COMP,7.73
108,agreely,427,L,COMP,8.46
108,aridism,558,S,COMP,4.61
108,tiltady,636,S,SIMP,5.79
108,fiendism,885,S,COMP,3.97
108,altaric,709,S,COMP,6
108,longnels,661,L,SIMP,9.86
108,advertisela,812,S,SIMP,1.56
108,coldity,969,L,COMP,8.18
108,smoothfil,738,L,SIMP,6.95
108,yankory,621,S,COMP,3.93
108,classoes,617,L,SIMP,8.73
108,princement,908,S,COMP,6.81
108,bandady,824,L,SIMP,6.89
108,feverime,757,S,SIMP,6.39
108,witchith,754,L,SIMP,6.79
108,stirance,652,L,COMP,6.73
108,digody,692,S,SIMP,6.66
108,mouthize,455,L,COMP,7.96
108,lidary,606,S,COMP,6.26
108,pillize,708,S,COMP,6.29
108,tripary,696,L,COMP,7.23
108,elbowilm,778,L,SIMP,7.47
108,zoomfil,628,S,SIMP,3.53
108,nutla,769,L,SIMP,6.85
108,beerer,866,S,COMP,6.75
108,brancher,601,S,COMP,7.43
108,schemenels,629,S,SIMP,7.39
108,criticange,666,L,SIMP,7.91
108,dumbity,801,S,COMP,5.5
108,happenance,994,S,COMP,8.85
108,freeness,722,L,COMP,8.89
108,nextnels,641,S,SIMP,8.91
108,angelish,429,L,COMP,6.48
108,aidig,585,S,SIMP,7.06
108,baskody,617,S,SIMP,4.22
108,gasful,580,L,COMP,7.31
108,boilous,994,L,COMP,7
108,fellowous,756,L,COMP,7.19
108,yieldilt,637,S,SIMP,6.42
108,wigith,701,L,SIMP,5.57
108,treasonize,993,S,COMP,4.93
108,employness,818,L,COMP,8.44
108,pickenge,700,L,SIMP,8.13
108,dressody,772,L,SIMP,8.26
108,mudly,40364,L,COMP,6.82
108,habitig,634,L,SIMP,7.63
108,debtish,654,S,COMP,6.49
108,boltoes,648,S,SIMP,5.85
108,nullith,667,S,SIMP,3.81
108,validel,661,L,SIMP,6.43
108,prayange,993,L,SIMP,6.96
