base,word,Word.2,OkayToUse,Word.3,Condition,cond_trig,word_trig,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist
smooth,smoothful,smoothful,TRUE,SMOOTHFUL,NW_L_COMP,204,19,Complex,ful,Graves,12,1042,6.95,L,L,6.00,9.00,2
socket,socketel,socketel,TRUE,SOCKETEL,NW_S_SIMP,205,1,Simple,er,Crepaldi,1,143,4.96,S,S,6.00,8.00,2
socket,socketer,socketer,TRUE,SOCKETER,NW_S_COMP,203,1,Complex,er,Crepaldi,1,143,4.96,S,S,6.00,8.00,2
stir,stirance,stirance,TRUE,STIRANCE,NW_L_COMP,204,1,Complex,ance,Crepaldi,12,841,6.73,L,L,4.00,8.00,1
stir,stirange,stirange,TRUE,STIRANGE,NW_L_SIMP,206,1,Simple,ance,Crepaldi,12,841,6.73,L,L,4.00,8.00,1
tax,taxfil,taxfil,TRUE,TAXFIL,NW_L_SIMP,206,6,Simple,ful,Crepaldi,14,2763,7.92,L,L,3.00,6.00,2
tax,taxful,taxful,TRUE,TAXFUL,NW_L_COMP,204,6,Complex,ful,Crepaldi,14,2763,7.92,L,L,3.00,6.00,2
thrill,thrillance,thrillance,TRUE,THRILLANCE,NW_S_COMP,203,22,Complex,ance,XuTaft,4,307,5.73,S,S,6.00,10.00,2
thrill,thrillange,thrillange,TRUE,THRILLANGE,NW_S_SIMP,205,22,Simple,ance,XuTaft,4,307,5.73,S,S,6.00,10.00,2
tilt,tiltady,tiltady,TRUE,TILTADY,NW_S_SIMP,205,17,Simple,ary,RastleFiller,3,328,5.79,S,S,4.00,7.00,2
tilt,tiltary,tiltary,TRUE,TILTARY,NW_S_COMP,203,17,Complex,ary,RastleFiller,3,328,5.79,S,S,4.00,7.00,2
tower,towerla,towerla,TRUE,TOWERLA,NW_L_SIMP,206,15,Simple,ly,Crepaldi,9,1180,7.07,L,L,5.00,7.00,2
tower,towerly,towerly,TRUE,TOWERLY,NW_L_COMP,204,15,Complex,ly,Crepaldi,9,1180,7.07,L,L,5.00,7.00,2
treason,treasonime,treasonime,TRUE,TREASONIME,NW_S_SIMP,205,14,Simple,ize,Crepaldi,4,138,4.93,S,S,7.00,10.00,1
treason,treasonize,treasonize,TRUE,TREASONIZE,NW_S_COMP,203,14,Complex,ize,Crepaldi,4,138,4.93,S,S,7.00,10.00,1
trip,tripady,tripady,TRUE,TRIPADY,NW_L_SIMP,206,2,Simple,ary,Crepaldi,9,1382,7.23,L,L,4.00,7.00,1
trip,tripary,tripary,TRUE,TRIPARY,NW_L_COMP,204,2,Complex,ary,Crepaldi,9,1382,7.23,L,L,4.00,7.00,1
TRUE,truenels,truenels,TRUE,TRUENELS,NW_S_SIMP,205,15,Simple,ness,Crepaldi,6,6,1.79,S,S,4.00,8.00,1
TRUE,trueness,trueness,TRUE,TRUENESS,NW_S_COMP,203,15,Complex,ness,Crepaldi,6,6,1.79,S,S,4.00,8.00,1
urn,urnilt,urnilt,TRUE,URNILT,NW_S_SIMP,205,5,Simple,ist,Crepaldi,2,68,4.22,S,S,3.00,6.00,2
urn,urnist,urnist,TRUE,URNIST,NW_S_COMP,203,5,Complex,ist,Crepaldi,2,68,4.22,S,S,3.00,6.00,2
valid,validel,validel,TRUE,VALIDEL,NW_L_SIMP,206,23,Simple,er,RastleFiller,13,618,6.43,L,S,5.00,7.00,2
valid,valider,valider,TRUE,VALIDER,NW_L_COMP,204,23,Complex,er,RastleFiller,13,618,6.43,L,S,5.00,7.00,2
warn,warnody,warnody,TRUE,WARNODY,NW_S_SIMP,205,12,Simple,ory,Crepaldi,5,1697,7.44,S,L,4.00,7.00,2
