Condition,base,word,cond_trig,word_trig,ItemID,affix,Source,FS,BF,LogBF,Complexity,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,List
NW_S_SIMP,fan,fanfil,203,6,36,ful,Crepaldi,4,473,6.16,Simple,Small,Low,3.00,6.00,1,BA
NW_S_SIMP,altar,altarig,203,7,37,ic,Crepaldi,2,403,6.00,Simple,Small,Low,5.00,7.00,1,BA
NW_S_SIMP,ant,antilm,203,8,38,ish,Crepaldi,1,206,5.33,Simple,Small,Low,3.00,6.00,1,BA
NW_S_SIMP,arid,aridilm,203,9,39,ish,Crepaldi,3,100,4.61,Simple,Small,Low,4.00,7.00,1,BA
NW_S_SIMP,elm,elmilt,203,10,310,ist,Crepaldi,2,175,5.16,Simple,Small,Low,3.00,6.00,1,BA
NW_S_SIMP,curt,curtidy,203,11,311,ity,Crepaldi,3,88,4.48,Simple,Small,Low,4.00,7.00,1,BA
NW_S_SIMP,dumb,dumbidy,203,12,312,ity,Crepaldi,6,244,5.50,Simple,Small,Low,4.00,7.00,1,BA
NW_S_SIMP,pill,pillime,203,13,313,ize,Crepaldi,5,537,6.29,Simple,Small,Low,4.00,7.00,1,BA
NW_S_SIMP,treason,treasonime,203,14,314,ize,Crepaldi,4,138,4.93,Simple,Small,Low,7.00,10.00,1,BA
NW_S_SIMP,TRUE,truenels,203,15,315,ness,Crepaldi,6,6,1.79,Simple,Small,Low,4.00,8.00,1,BA
NW_S_SIMP,eject,ejectenge,203,20,320,ence,RastleFiller,5,66,4.19,Simple,Small,Low,5.00,9.00,1,BA
NW_S_SIMP,weld,weldig,203,21,321,ic,RastleFiller,3,129,4.86,Simple,Small,Low,4.00,6.00,1,BA
NW_S_SIMP,debt,debtith,203,22,322,ish,RastleFiller,4,656,6.49,Simple,Small,Low,4.00,7.00,1,BA
NW_S_SIMP,yank,yankody,203,23,323,ory,RastleFiller,2,51,3.93,Simple,Small,Low,4.00,7.00,1,BA
NW_S_SIMP,fiend,fiendilm,203,24,324,ism,XuTaft,4,53,3.97,Simple,Small,Low,5.00,8.00,1,BA
NW_S_SIMP,humid,humidoes,203,25,325,ous,XuTaft,4,92,4.52,Simple,Small,Low,5.00,8.00,1,BA
NW_L_SIMP,flit,flitenge,204,3,43,ence,Crepaldi,11,599,6.40,Simple,Large,Low,4.00,8.00,1,BA
NW_L_SIMP,rip,ripenge,204,4,44,ence,Crepaldi,8,471,6.15,Simple,Large,Low,3.00,7.00,1,BA
NW_L_SIMP,angel,angelith,204,7,47,ish,Crepaldi,17,652,6.48,Simple,Large,Low,5.00,8.00,1,BA
NW_L_SIMP,ink,inkilm,204,8,48,ish,Crepaldi,12,290,5.67,Simple,Large,Low,3.00,6.00,1,BA
NW_L_SIMP,flip,flipody,204,16,416,ory,Crepaldi,10,184,5.21,Simple,Large,Low,4.00,7.00,1,BA
NW_L_SIMP,bind,bindig,204,22,422,ic,RastleFiller,14,451,6.11,Simple,Large,Low,4.00,6.00,1,BA
NW_L_SIMP,pitch,pitchody,204,25,425,ory,RastleFiller,10,610,6.41,Simple,Large,Low,5.00,8.00,1,BA
NW_S_COMP,aid,aidic,205,4,54,ic,Crepaldi,4,1159,7.06,Complex,Small,High,3.00,5.00,2,BA
NW_S_COMP,oppose,opposement,205,8,58,ment,Crepaldi,1,994,6.90,Complex,Small,High,6.00,10.00,2,BA
NW_S_COMP,next,nextness,205,9,59,ness,Crepaldi,4,7415,8.91,Complex,Small,High,4.00,8.00,2,BA
NW_S_COMP,dig,digory,205,11,511,ory,Crepaldi,3,777,6.66,Complex,Small,High,3.00,6.00,2,BA
NW_S_COMP,warn,warnory,205,12,512,ory,Crepaldi,5,1697,7.44,Complex,Small,High,4.00,7.00,2,BA
NW_S_COMP,scheme,schemeness,205,15,515,ness,Graves,3,1619,7.39,Complex,Small,High,6.00,10.00,2,BA
NW_S_COMP,acre,acrement,205,16,516,ment,Rastle,3,708,6.56,Complex,Small,High,4.00,8.00,2,BA
NW_S_COMP,medical,medicalary,205,18,518,ary,RastleFiller,3,1323,7.19,Complex,Small,High,7.00,10.00,2,BA
NW_L_COMP,pray,prayance,206,1,61,ance,Crepaldi,9,1055,6.96,Complex,Large,High,4.00,8.00,2,BA
NW_L_COMP,band,bandary,206,3,63,ary,Crepaldi,26,981,6.89,Complex,Large,High,4.00,7.00,2,BA
NW_L_COMP,pick,pickence,206,5,65,ence,Crepaldi,20,3385,8.13,Complex,Large,High,4.00,8.00,2,BA
NW_L_COMP,tax,taxful,206,6,66,ful,Crepaldi,14,2763,7.92,Complex,Large,High,3.00,6.00,2,BA
NW_L_COMP,habit,habitic,206,7,67,ic,Crepaldi,16,2066,7.63,Complex,Large,High,5.00,7.00,2,BA
NW_L_COMP,elbow,elbowism,206,10,610,ish,Crepaldi,18,1756,7.47,Complex,Large,High,5.00,8.00,2,BA
NW_L_COMP,witch,witchish,206,11,611,ish,Crepaldi,11,890,6.79,Complex,Large,High,5.00,8.00,2,BA
NW_L_COMP,poor,poority,206,13,613,ity,Crepaldi,11,4350,8.38,Complex,Large,High,4.00,7.00,2,BA
NW_L_COMP,nut,nutly,206,14,614,ly,Crepaldi,31,946,6.85,Complex,Large,High,3.00,5.00,2,BA
NW_L_COMP,tower,towerly,206,15,615,ly,Crepaldi,9,1180,7.07,Complex,Large,High,5.00,7.00,2,BA
NW_L_COMP,shoot,shootment,206,16,616,ment,Crepaldi,23,1828,7.51,Complex,Large,High,5.00,9.00,2,BA
NW_L_COMP,long,longness,206,17,617,ness,Crepaldi,59,19076,9.86,Complex,Large,High,4.00,8.00,2,BA
NW_L_COMP,class,classous,206,18,618,ous,Crepaldi,29,6216,8.73,Complex,Large,High,5.00,8.00,2,BA
NW_L_COMP,smooth,smoothful,206,19,619,ful,Graves,12,1042,6.95,Complex,Large,High,6.00,9.00,2,BA
NW_L_COMP,grow,growist,206,20,620,ic,Graves,14,8545,9.05,Complex,Large,High,4.00,7.00,2,BA
NW_L_COMP,dress,dressory,206,21,621,ory,Graves,33,3885,8.26,Complex,Large,High,5.00,9.00,2,BA
NW_L_COMP,critic,criticance,206,22,622,ize,Rastle,11,2720,7.91,Complex,Large,High,6.00,10.00,2,BA
NW_L_COMP,blood,blooder,206,24,624,er,RastleFiller,53,3988,8.29,Complex,Large,High,5.00,7.00,2,BA
NW_L_COMP,bear,bearist,206,25,625,ist,RastleFiller,30,2626,7.87,Complex,Large,High,4.00,7.00,2,BA
NW_S_COMP,socket,socketer,205,1,51,er,Crepaldi,1,143,4.96,Complex,Small,Low,6.00,8.00,2,BA
NW_S_COMP,gum,gumful,205,2,52,ful,Crepaldi,2,57,4.04,Complex,Small,Low,3.00,6.00,2,BA
NW_S_COMP,heir,heiric,205,3,53,ic,Crepaldi,3,211,5.35,Complex,Small,Low,4.00,6.00,2,BA
NW_S_COMP,urn,urnist,205,5,55,ist,Crepaldi,2,68,4.22,Complex,Small,Low,3.00,6.00,2,BA
NW_S_COMP,ramp,rampize,205,6,56,ize,Crepaldi,1,95,4.55,Complex,Small,Low,4.00,7.00,2,BA
NW_S_COMP,jaw,jawly,205,7,57,ly,Crepaldi,7,414,6.03,Complex,Small,Low,3.00,5.00,2,BA
NW_S_COMP,bask,baskory,205,10,510,ory,Crepaldi,1,68,4.22,Complex,Small,Low,4.00,7.00,2,BA
NW_S_COMP,bolt,boltous,205,13,513,ous,Crepaldi,6,348,5.85,Complex,Small,Low,4.00,7.00,2,BA
NW_S_COMP,helmet,helmetous,205,14,514,ous,Crepaldi,6,242,5.49,Complex,Small,Low,6.00,9.00,2,BA
NW_S_COMP,tilt,tiltary,205,17,517,ary,RastleFiller,3,328,5.79,Complex,Small,Low,4.00,7.00,2,BA
NW_S_COMP,zoom,zoomful,205,19,519,ful,RastleFiller,2,34,3.53,Complex,Small,Low,4.00,7.00,2,BA
NW_S_COMP,yield,yieldist,205,20,520,ist,RastleFiller,4,613,6.42,Complex,Small,Low,5.00,8.00,2,BA
NW_S_COMP,wink,winkity,205,21,521,ity,RastleFiller,4,216,5.38,Complex,Small,Low,4.00,7.00,2,BA
NW_S_COMP,thrill,thrillance,205,22,522,ance,XuTaft,4,307,5.73,Complex,Small,Low,6.00,10.00,2,BA
NW_S_COMP,null,nullish,205,23,523,ish,XuTaft,4,45,3.81,Complex,Small,Low,4.00,7.00,2,BA
NW_S_COMP,fever,feverize,205,24,524,ize,XuTaft,4,594,6.39,Complex,Small,Low,5.00,8.00,2,BA
NW_S_COMP,advertise,advertisely,205,25,525,ly,XuTaft,4,4.76,1.56,Complex,Small,Low,9.00,11.00,2,BA
NW_L_COMP,bog,bogary,206,2,62,ary,Crepaldi,12,259,5.56,Complex,Large,Low,3.00,6.00,2,BA
NW_L_COMP,beg,begence,206,4,64,ence,Crepaldi,8,604,6.40,Complex,Large,Low,3.00,7.00,2,BA
NW_L_COMP,bean,beanish,206,8,68,ish,Crepaldi,9,425,6.05,Complex,Large,Low,4.00,7.00,2,BA
NW_L_COMP,wig,wigish,206,9,69,ish,Crepaldi,8,262,5.57,Complex,Large,Low,3.00,6.00,2,BA
NW_L_COMP,ear,earist,206,12,612,ist,Crepaldi,16,1711,2.77,Complex,Large,Low,3.00,6.00,2,BA
NW_L_COMP,valid,valider,206,23,623,er,RastleFiller,13,618,6.43,Complex,Large,Low,5.00,7.00,2,BA
