SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S101,616,0,NW_S_SIMP,205,6,RAMPIME,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,rampime,ramp,Simple,ize,Crepaldi,1,95,4.55,S,S,4,7,2,Small
S101,649,1,NW_S_SIMP,205,7,JAWLA,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,jawla,jaw,Simple,ly,Crepaldi,7,414,6.03,S,S,3,5,2,Small
S101,671,0,NW_S_SIMP,205,8,OPPOSEMANT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,opposemant,oppose,Simple,ment,Crepaldi,1,994,6.9,S,L,6,10,2,Small
S101,996,0,NW_S_SIMP,205,9,NEXTNELS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,nextnels,next,Simple,ness,Crepaldi,4,7415,8.91,S,L,4,8,2,Small
S101,543,0,NW_S_SIMP,205,10,BASKODY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,baskody,bask,Simple,ory,Crepaldi,1,68,4.22,S,S,4,7,2,Small
S101,759,0,NW_S_SIMP,205,11,DIGODY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,digody,dig,Simple,ory,Crepaldi,3,777,6.66,S,L,3,6,2,Small
S101,719,1,NW_S_SIMP,205,12,WARNODY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,warnody,warn,Simple,ory,Crepaldi,5,1697,7.44,S,L,4,7,2,Small
S101,616,1,NW_S_SIMP,205,13,BOLTOES,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,boltoes,bolt,Simple,ous,Crepaldi,6,348,5.85,S,S,4,7,2,Small
S101,776,1,NW_S_SIMP,205,14,HELMETOES,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,helmetoes,helmet,Simple,ous,Crepaldi,6,242,5.49,S,S,6,9,2,Small
S101,599,0,NW_S_SIMP,205,15,SCHEMENELS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,schemenels,scheme,Simple,ness,Graves,3,1619,7.39,S,L,6,10,2,Small
S101,814,1,NW_S_SIMP,205,16,ACREMANT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,acremant,acre,Simple,ment,Rastle,3,708,6.56,S,L,4,8,2,Small
S101,697,0,NW_S_SIMP,205,17,TILTADY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,tiltady,tilt,Simple,ary,RastleFiller,3,328,5.79,S,S,4,7,2,Small
S101,994,0,NW_S_SIMP,205,18,MEDICALADY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,medicalady,medical,Simple,ary,RastleFiller,3,1323,7.19,S,L,7,10,2,Small
S101,993,0,NW_S_SIMP,205,19,ZOOMFIL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,zoomfil,zoom,Simple,ful,RastleFiller,2,34,3.53,S,S,4,7,2,Small
S101,875,1,NW_S_SIMP,205,20,YIELDILT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,yieldilt,yield,Simple,ist,RastleFiller,4,613,6.42,S,S,5,8,2,Small
S101,935,1,NW_S_SIMP,205,21,WINKIDY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,winkidy,wink,Simple,ity,RastleFiller,4,216,5.38,S,S,4,7,2,Small
S101,990,0,NW_S_SIMP,205,22,THRILLANGE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,thrillange,thrill,Simple,ance,XuTaft,4,307,5.73,S,S,6,10,2,Small
