SubjID,z_vcb,z_spl,z_art,Dim.1,Dim.2,correct,response_time,trial_type,complexity,target,ItemID,word_trig,cond_trig,base,affix,FS,BF,LogFS,LogBF,BaseLength,WholeFormLength,List
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,727,NW,SIMP,nextnels,59,9,205,next,ness,4,7415,1.3862943611198906,8.91,4,8,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,846,NW,COMP,bindic,422,22,204,bind,ic,14,451,2.6390573296152584,6.11,4,6,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,949,NW,COMP,ripence,44,4,204,rip,ence,8,471,2.0794415416798357,6.15,3,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,814,NW,SIMP,prayange,61,1,206,pray,ance,9,1055,2.1972245773362196,6.96,4,8,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,803,NW,SIMP,towerla,615,15,206,tower,ly,9,1180,2.1972245773362196,7.07,5,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,876,NW,SIMP,nullith,523,23,205,null,ish,4,45,1.3862943611198906,3.81,4,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,837,NW,SIMP,shootmant,616,16,206,shoot,ment,23,1828,3.1354942159291497,7.51,5,9,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,900,NW,SIMP,feverime,524,24,205,fever,ize,4,594,1.3862943611198906,6.39,5,8,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,827,NW,SIMP,dressody,621,21,206,dress,ory,33,3885,3.4965075614664802,8.26,5,9,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,644,NW,SIMP,validel,623,23,206,valid,er,13,618,2.5649493574615367,6.43,5,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,775,NW,SIMP,smoothfil,619,19,206,smooth,ful,12,1042,2.4849066497880004,6.95,6,9,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,660,NW,SIMP,heirig,53,3,205,heir,ic,3,211,1.0986122886681098,5.35,4,6,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,695,NW,COMP,aridism,39,9,203,arid,ish,3,100,1.0986122886681098,4.61,4,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,655,NW,SIMP,yieldilt,520,20,205,yield,ist,4,613,1.3862943611198906,6.42,5,8,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,632,NW,SIMP,pooridy,613,13,206,poor,ity,11,4350,2.3978952727983707,8.38,4,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,669,NW,SIMP,bearilt,625,25,206,bear,ist,30,2626,3.4011973816621555,7.87,4,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,912,NW,COMP,lidary,33,3,203,lid,ary,3,523,1.0986122886681098,6.26,3,6,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,858,NW,COMP,inkism,48,8,204,ink,ish,12,290,2.4849066497880004,5.67,3,6,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,769,NW,SIMP,advertisela,525,25,205,advertise,ly,4,4.76,1.3862943611198906,1.56,9,11,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,618,NW,COMP,elmist,310,10,203,elm,ist,2,175,0.6931471805599453,5.16,3,6,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,833,NW,SIMP,taxfil,66,6,206,tax,ful,14,2763,2.6390573296152584,7.92,3,6,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,694,NW,SIMP,schemenels,515,15,205,scheme,ness,3,1619,1.0986122886681098,7.39,6,10,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,644,NW,SIMP,criticange,622,22,206,critic,ize,11,2720,2.3978952727983707,7.91,6,10,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,965,NW,COMP,adoptish,319,19,203,adopt,ish,4,1205,1.3862943611198906,7.09,5,5,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,868,NW,SIMP,thrillange,522,22,205,thrill,ance,4,307,1.3862943611198906,5.73,6,10,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,639,NW,COMP,heightence,318,18,203,height,ence,2,912,0.6931471805599453,6.82,6,10,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,796,NW,COMP,coldity,410,10,204,cold,ity,14,3585,2.6390573296152584,8.18,4,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,712,NW,COMP,yankory,323,23,203,yank,ory,2,51,0.6931471805599453,3.93,4,7,AB
