SubjID,z_vcb,z_spl,z_art,Dim.1,Dim.2,correct,response_time,trial_type,target,word_trig,cond_trig,Base,affix,FS,BF,LogFS,LogBF,BaseLength,WholeFormLength,List
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,708,CW,swimmer,5,202,swim,er,11,1145,2.3978952727983707,7.04,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,791,CW,knocker,4,202,knock,er,15,1104,2.70805020110221,7.01,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,458,CW,pusher,13,202,push,er,17,2507,2.833213344056216,7.83,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,537,CW,tutoring,27,201,tutor,ing,5,499,1.6094379124341003,6.21,5,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,599,CW,allowance,5,201,allow,ance,5,5014,1.6094379124341003,8.52,5,9,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,522,CW,peaking,28,201,peak,ing,6,546,1.791759469228055,6.3,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,710,CW,bomber,7,202,bomb,er,24,1208,3.1780538303479458,7.1,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,501,CW,feeder,14,202,feed,er,11,2806,2.3978952727983707,7.94,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,539,CW,shameful,19,202,shame,ful,13,993,2.5649493574615367,6.9,5,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,378,CW,locker,8,202,lock,er,18,1654,2.8903717578961645,7.41,4,6,BA
