SubjID,value,chindex,chlabel,bini,complexity,base_frequency,List,time_window,z_vcb,z_spl,z_art,Dim.1,Dim.2
S101,-6.718,5,FC5,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-5.3,6,FC1,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-5.674,7,C3,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-5.564,8,T7,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-6.155,9,CP5,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-4.425,10,CP1,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-3.664,11,Pz,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-6.7,12,P3,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-9.494,13,P7,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-7.948,14,O1,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-4.633,15,O2,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-4.477,16,P4,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-9.477,17,P8,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-6.494,18,CP6,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-5.13,19,CP2,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-5.797,20,CZ,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-6.072,21,C4,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-5.893,22,T8,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-9.345,23,FC6,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-4.776,24,FC2,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-6.188,25,F4,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-5.641,26,F8,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-4.01,27,FP2,22,Simple,Low,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S104,2.169,1,FP1,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-1.918,2,Fz,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-1.841,3,F3,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-1.146,4,F7,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,0.507,5,FC5,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-1.527,6,FC1,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,1.707,7,C3,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,2.362,8,T7,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-2.624,9,CP5,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,2.329,10,CP1,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,0.784,11,Pz,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-3.801,12,P3,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-7.759,13,P7,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-20.162,14,O1,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-18.158,15,O2,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-3.427,16,P4,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-12.522,17,P8,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
S104,-2.697,18,CP6,19,Complex,High,AB,N250,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962
